year,month,neighbourhood,num_reviews,date
2015,09,Oud - Berchem,6,2015-09-01
2015,09,Sint-Andries,13,2015-09-01
2015,09,Stadspark,12,2015-09-01
2015,09,Stuivenberg,5,2015-09-01
2015,09,Theaterbuurt-Meir,16,2015-09-01
2015,09,Universiteitsbuurt,9,2015-09-01
2015,09,Zuid,8,2015-09-01
2015,09,Zurenborg,1,2015-09-01
2015,10,Amandus - Atheneum,42,2015-10-01
2015,10,Borgerhout Extra Muros,2,2015-10-01
2015,10,Borgerhout Intra Muros Noord,19,2015-10-01
2015,10,Borgerhout Intra Muros Zuid,35,2015-10-01
2015,10,Brederode,1,2015-10-01
2015,10,Centraal Station,10,2015-10-01
2015,10,Deurne Dorp - Gallifort,6,2015-10-01
2015,10,Deurne Zuid Oost,1,2015-10-01
2015,10,Deurne Zuid West,6,2015-10-01
2015,10,Eilandje,12,2015-10-01
2015,10,Groenenhoek,3,2015-10-01
2015,10,Haringrode,3,2015-10-01
2015,10,Harmonie,1,2015-10-01
2015,10,Historisch Centrum,53,2015-10-01
2015,10,Markgrave,4,2015-10-01
2015,10,Oud - Berchem,5,2015-10-01
2015,10,Sint-Andries,16,2015-10-01
2015,10,Stadspark,18,2015-10-01
2015,10,Stuivenberg,5,2015-10-01
2015,10,Theaterbuurt-Meir,14,2015-10-01
2015,10,Universiteitsbuurt,18,2015-10-01
2015,10,Zuid,15,2015-10-01
2015,11,Amandus - Atheneum,42,2015-11-01
2015,11,Borgerhout Extra Muros,4,2015-11-01
2015,11,Borgerhout Intra Muros Noord,14,2015-11-01
2015,11,Borgerhout Intra Muros Zuid,48,2015-11-01
2015,11,Brederode,1,2015-11-01
2015,11,Centraal Station,11,2015-11-01
2015,11,Deurne Dorp - Gallifort,4,2015-11-01
2015,11,Deurne Noord,1,2015-11-01
2015,11,Deurne Zuid Oost,1,2015-11-01
2015,11,Deurne Zuid West,12,2015-11-01
2015,11,Eilandje,10,2015-11-01
2015,11,Haringrode,3,2015-11-01
2015,11,Harmonie,3,2015-11-01
2015,11,Historisch Centrum,46,2015-11-01
2015,11,Linkeroever,1,2015-11-01
2015,11,Markgrave,5,2015-11-01
2015,11,Oud - Berchem,3,2015-11-01
2015,11,Sint-Andries,17,2015-11-01
2015,11,Stadspark,16,2015-11-01
2015,11,Stuivenberg,4,2015-11-01
2015,11,Theaterbuurt-Meir,20,2015-11-01
2015,11,Universiteitsbuurt,12,2015-11-01
2015,11,Zuid,15,2015-11-01
2015,12,Amandus - Atheneum,30,2015-12-01
2015,12,Borgerhout Extra Muros,2,2015-12-01
2015,12,Borgerhout Intra Muros Noord,9,2015-12-01
2015,12,Borgerhout Intra Muros Zuid,40,2015-12-01
2015,12,Centraal Station,5,2015-12-01
2015,12,Deurne Dorp - Gallifort,5,2015-12-01
2015,12,Deurne Zuid Oost,1,2015-12-01
2015,12,Deurne Zuid West,5,2015-12-01
2015,12,Eilandje,15,2015-12-01
2015,12,Haringrode,4,2015-12-01
2015,12,Harmonie,5,2015-12-01
2015,12,Historisch Centrum,48,2015-12-01
2015,12,Linkeroever,1,2015-12-01
2015,12,Markgrave,6,2015-12-01
2015,12,Nieuw - Kwartier West,1,2015-12-01
2015,12,Oud - Berchem,7,2015-12-01
2015,12,Sint-Andries,14,2015-12-01
2015,12,Stadspark,18,2015-12-01
2015,12,Stuivenberg,4,2015-12-01
2015,12,Theaterbuurt-Meir,31,2015-12-01
2015,12,Universiteitsbuurt,32,2015-12-01
2015,12,Zuid,23,2015-12-01
2015,12,Zurenborg,2,2015-12-01
2016,01,Amandus - Atheneum,34,2016-01-01
2016,01,Borgerhout Extra Muros,2,2016-01-01
2016,01,Borgerhout Intra Muros Noord,8,2016-01-01
2016,01,Borgerhout Intra Muros Zuid,23,2016-01-01
2016,01,Brederode,2,2016-01-01
2016,01,Centraal Station,3,2016-01-01
2016,01,Deurne Dorp - Gallifort,3,2016-01-01
2016,01,Deurne Oost,1,2016-01-01
2016,01,Deurne Zuid Oost,1,2016-01-01
2016,01,Deurne Zuid West,4,2016-01-01
2016,01,Eilandje,13,2016-01-01
2016,01,Haringrode,1,2016-01-01
2016,01,Harmonie,3,2016-01-01
2016,01,Historisch Centrum,38,2016-01-01
2016,01,Markgrave,2,2016-01-01
2016,01,Oud - Berchem,4,2016-01-01
2016,01,Sint-Andries,17,2016-01-01
2016,01,Stadspark,14,2016-01-01
2016,01,Stuivenberg,5,2016-01-01
2016,01,Theaterbuurt-Meir,23,2016-01-01
2016,01,Universiteitsbuurt,38,2016-01-01
2016,01,Zuid,25,2016-01-01
2016,01,Zurenborg,1,2016-01-01
2016,02,Amandus - Atheneum,22,2016-02-01
2016,02,Borgerhout Extra Muros,1,2016-02-01
2016,02,Borgerhout Intra Muros Noord,9,2016-02-01
2016,02,Borgerhout Intra Muros Zuid,26,2016-02-01
2016,02,Brederode,3,2016-02-01
2016,02,Centraal Station,11,2016-02-01
2016,02,Deurne Dorp - Gallifort,2,2016-02-01
2016,02,Deurne Zuid Oost,2,2016-02-01
2016,02,Deurne Zuid West,8,2016-02-01
2016,02,Eilandje,14,2016-02-01
2016,02,Haringrode,4,2016-02-01
2016,02,Harmonie,1,2016-02-01
2016,02,Historisch Centrum,59,2016-02-01
2016,02,Markgrave,2,2016-02-01
2016,02,Oosterveld - Elsdonk,2,2016-02-01
2016,02,Oud - Berchem,4,2016-02-01
2016,02,Sint-Andries,8,2016-02-01
2016,02,Stadspark,8,2016-02-01
2016,02,Stuivenberg,7,2016-02-01
2016,02,Theaterbuurt-Meir,25,2016-02-01
2016,02,Universiteitsbuurt,43,2016-02-01
2016,02,Zuid,18,2016-02-01
2016,02,Zurenborg,1,2016-02-01
2016,03,Amandus - Atheneum,34,2016-03-01
2016,03,Borgerhout Extra Muros,1,2016-03-01
2016,03,Borgerhout Intra Muros Noord,10,2016-03-01
2016,03,Borgerhout Intra Muros Zuid,35,2016-03-01
2016,03,Brederode,4,2016-03-01
2016,03,Centraal Station,10,2016-03-01
2016,03,Deurne Dorp - Gallifort,2,2016-03-01
2016,03,Deurne Oost,1,2016-03-01
2016,03,Deurne Zuid West,12,2016-03-01
2016,03,Eilandje,8,2016-03-01
2016,03,Harmonie,1,2016-03-01
2016,03,Historisch Centrum,54,2016-03-01
2016,03,Hoboken - Centrum,3,2016-03-01
2016,03,Linkeroever,1,2016-03-01
2016,03,Markgrave,4,2016-03-01
2016,03,Nieuw - Kwartier West,1,2016-03-01
2016,03,Oosterveld - Elsdonk,8,2016-03-01
2016,03,Oud - Berchem,2,2016-03-01
2016,03,Polder,2,2016-03-01
2016,03,Sint-Andries,12,2016-03-01
2016,03,Stadspark,4,2016-03-01
2016,03,Stuivenberg,5,2016-03-01
2016,03,Theaterbuurt-Meir,27,2016-03-01
2016,03,Universiteitsbuurt,39,2016-03-01
2016,03,Zuid,18,2016-03-01
2016,04,Amandus - Atheneum,31,2016-04-01
2016,04,Borgerhout Extra Muros,4,2016-04-01
2016,04,Borgerhout Intra Muros Noord,10,2016-04-01
2016,04,Borgerhout Intra Muros Zuid,40,2016-04-01
2016,04,Brederode,9,2016-04-01
2016,04,Centraal Station,15,2016-04-01
2016,04,Deurne Dorp - Gallifort,5,2016-04-01
2016,04,Deurne Oost,1,2016-04-01
2016,04,Deurne Zuid Oost,1,2016-04-01
2016,04,Deurne Zuid West,3,2016-04-01
2016,04,Eilandje,11,2016-04-01
2016,04,Haringrode,2,2016-04-01
2016,04,Historisch Centrum,61,2016-04-01
2016,04,Hoboken - Centrum,3,2016-04-01
2016,04,Linkeroever,1,2016-04-01
2016,04,Markgrave,6,2016-04-01
2016,04,Nieuw - Kwartier West,2,2016-04-01
2016,04,Oosterveld - Elsdonk,7,2016-04-01
2016,04,Oud - Berchem,4,2016-04-01
2016,04,Petroleum - Zuid,1,2016-04-01
2016,04,Sint-Andries,17,2016-04-01
2016,04,Stadspark,13,2016-04-01
2016,04,Stuivenberg,6,2016-04-01
2016,04,Theaterbuurt-Meir,28,2016-04-01
2016,04,Universiteitsbuurt,53,2016-04-01
2016,04,Zuid,21,2016-04-01
2016,04,Zurenborg,2,2016-04-01
2016,05,Amandus - Atheneum,27,2016-05-01
2016,05,Borgerhout Extra Muros,7,2016-05-01
2016,05,Borgerhout Intra Muros Noord,21,2016-05-01
2016,05,Borgerhout Intra Muros Zuid,52,2016-05-01
2016,05,Brederode,7,2016-05-01
2016,05,Centraal Station,19,2016-05-01
2016,05,Deurne Dorp - Gallifort,4,2016-05-01
2016,05,Deurne Oost,1,2016-05-01
2016,05,Deurne Zuid West,4,2016-05-01
2016,05,Eilandje,11,2016-05-01
2016,05,Groenenhoek,2,2016-05-01
2016,05,Haringrode,5,2016-05-01
2016,05,Harmonie,2,2016-05-01
2016,05,Historisch Centrum,83,2016-05-01
2016,05,Hoboken - Centrum,1,2016-05-01
2016,05,Linkeroever,1,2016-05-01
2016,05,Markgrave,6,2016-05-01
2016,05,Nieuw - Kwartier Oost,2,2016-05-01
2016,05,Oosterveld - Elsdonk,8,2016-05-01
2016,05,Oud - Berchem,6,2016-05-01
